code    jcg_name        wikidata_name

    01003   Atsukeshi       Akkeshi
    07004   Ishiki          Iwaki

    04002   Kaduno          Kazuno
    07008   Kitaaidu        Kitaaizu
    07016   Minamiaidu      Minamiaizu
    22010   Tsuduki         Tsuzuki

    06009   Tamadukuri      Tamatsukuri

    22001   Amada       Amata
    31013   Jodo        Joto
    31016   Tomada      Tomata

    22006   Kuze    Kuse
    22014   Yoza    Yosa

    01070   Mombetsu        Monbetsu
    08004   Kitakambara     Kitakanbara
    08009   Nakakambara     Nakakanbara
    08011   Nishikambara    Nishikanbara
    08013   Higashikambara  Higashikanbara
    08016   Minamikambara   Minamikanbara
    12008   Sambu           Sanbu
    16005   Kitagumma       Kitagunma
    16006   Gumma           Gunma
    19001   Ampachi         Anpachi



    23004   Gamou       Gamo
    27001   Akou        Ako
    29009   Nyuu        Nyu
    30009   Housu       Hosu

    36005   Syozu       Shozu
